Female Population,Male Population,Birth Rate,Death Rate,Compulsory Education Dur.,Employment in Industry(%),Employment in Agriculture(%),Female Employment in Agriculture(%),Female Employment in Industry(%),Unemployment(%),GDP in USD,National Income per Capita,Net income from Abroad,Agriculture value added(in USD),Electric Power Consumption(kWH per capita),Renewable Energy Consumption (%),Fossil Fuel Consumption (%),Year,Country
515957249.0,559042845.0,25.944,8.555,8.0,16.6299991607666,59.0999984741211,73.8000030517578,11.9499998092651,5.57600021362305,485441014538.638,3.42344811428497,-4207692436.72107,104954796939.212,393.810198122643,51.8585014343262,63.6479663387743,2001,India
507187684.0,549387864.0,26.401,8.692,8.0,16.3199996948242,59.6500015258789,74.3899993896484,11.6499996185303,5.56099987030029,468394937262.37,1.06679940548997,-4975977060.55532,101215262787.974,393.646247811898,51.5536994934082,63.7273945117512,2000,India
498372774.0,539685380.0,26.861,8.841,8.0,16.1800003051758,60.0900001525879,74.6100006103516,11.6300001144409,5.73600006103516,458820417337.807,4.09551560319204,-3560928781.42437,105478046711.373,392.039692990071,51.7172937036599,63.4604001610669,1999,India
489529547.0,529954039.0,27.324,9.003,8.0,15.8900003433228,60.7200012207031,74.7900009155273,11.5900001525879,5.66599988937378,421351477504.743,5.93750231903823,-3558539496.26981,102720522680.697,385.863985847439,52.7122557076625,62.0158176745031,1998,India
480682702.0,520217326.0,27.789,9.179,8.0,15.7700004577637,61.1199989318848,74.9800033569336,11.6199998855591,5.61299991607666,415867753863.874,2.29292446484808,-3553714782.43084,101244489721.004,375.485052938774,52.4880731033173,61.7732902454048,1997,India
471862701.0,510502547.0,28.262,9.37,8.0,15.7700004577637,61.3499984741211,75.1500015258789,11.6899995803833,5.73999977111816,392897054348.071,5.28858692148584,-3684987380.56607,99862765103.885,359.816270699348,53.767409699754,60.8251557989438,1996,India
463091988.0,500830598.0,28.749,9.579,8.0,15.6000003814697,61.7599983215332,75.3000030517578,11.6899995803833,5.75500011444092,360281952716.797,5.0828824564579,-4029621483.34539,88113635729.2706,358.762212881689,54.4841170038941,59.9879419310204,1995,India
454384941.0,491216887.0,29.258,9.808,8.0,15.4300003051758,62.1800003051758,75.4599990844727,11.6499996185303,5.73899984359741,327275583539.559,4.39111314733725,-4166865725.83342,86363506441.5546,341.231362340387,55.5571874605853,58.0145500336475,1994,India
445740103.0,481663763.0,29.792,10.055,8.0,15.2700004577637,62.6599998474121,75.7200012207031,11.5900001525879,5.69099998474121,279296022987.919,3.85491833991267,-3851512707.12243,75079800665.0874,320.550744825125,56.9833633428903,56.9568336076519,1993,India
437144412.0,472162606.0,30.348,10.316,8.0,15.2399997711182,62.9900016784668,75.9599990844727,11.6000003814697,5.72700023651123,288208430383.964,2.85197617575143,-4409097621.094,76864531185.5153,304.431830526134,57.2305674845727,56.0702824473676,1992,India
