Total Population,Female Population,Male Population,Birth Rate,Death Rate,Compulsory Education Dur.,Employment in Industry(%),Employment in Agriculture(%),Female Employment in Agriculture(%),Female Employment in Industry(%),Unemployment(%),GDP in USD,National Income per Capita,Net income from Abroad,Agriculture value added(in USD),Electric Power Consumption(kWH per capita),Renewable Energy Consumption (%),Fossil Fuel Consumption (%),Year,Country
215973000.0,109760877.0,106212123.0,14.6,8.8,12.0,22.532857009342738,1.5507142799241203,0.8271428495645523,11.042142936161586,5.932857147284916,1684904000000.0,-1.31918568314016,13004000000.0,154824088227.27274,8522.39400295407,6.410655244924104,93.0979531123041,1975,USA
213854000.0,108644597.0,105209403.0,14.8,9.1,12.0,22.532857009342738,1.5507142799241203,0.8271428495645523,11.042142936161586,5.932857147284916,1545243000000.0,-5.12332076642906,15520000000.0,154824088227.27274,8449.92845586241,6.410655244924104,94.1564542460561,1974,USA
211909000.0,107632675.0,104276325.0,14.8,9.3,12.0,22.532857009342738,1.5507142799241203,0.8271428495645523,11.042142936161586,5.932857147284916,1425376000000.0,4.49379091189246,12619000000.0,154824088227.27274,8573.19415409445,6.410655244924104,94.9771886917797,1973,USA
209896000.0,106592521.0,103303479.0,15.6,9.4,12.0,22.532857009342738,1.5507142799241203,0.8271428495645523,11.042142936161586,5.932857147284916,1279110000000.0,4.4305326557993,8558000000.0,154824088227.27274,8076.40926935244,6.410655244924104,95.3667577934488,1972,USA
207661000.0,105431729.0,102229271.0,17.2,9.3,12.0,22.532857009342738,1.5507142799241203,0.8271428495645523,11.042142936161586,5.932857147284916,1164850000000.0,1.36607439838991,7594000000.0,154824088227.27274,7517.30464555213,6.410655244924104,95.6438071526866,1971,USA
205052000.0,104063613.0,100988387.0,18.4,9.5,12.0,22.532857009342738,1.5507142799241203,0.8271428495645523,11.042142936161586,5.932857147284916,1073303000000.0,1.7497196513918294,6393000000.0,154824088227.27274,7236.65704309151,6.410655244924104,95.9187712540164,1970,USA
202677000.0,102793272.0,99883728.0,17.9,9.5,12.0,22.532857009342738,1.5507142799241203,0.8271428495645523,11.042142936161586,5.932857147284916,1019900000000.0,1.7497196513918294,75217000000.0,154824088227.27274,6904.83379959245,6.410655244924104,95.8586746434697,1969,USA
200706000.0,101711678.0,98994322.0,17.6,9.8,12.0,22.532857009342738,1.5507142799241203,0.8271428495645523,11.042142936161586,5.932857147284916,942500000000.0,1.7497196513918294,75217000000.0,154824088227.27274,6385.45932857015,6.410655244924104,95.9226132734279,1968,USA
198712000.0,100611313.0,98100687.0,17.8,9.4,12.0,22.532857009342738,1.5507142799241203,0.8271428495645523,11.042142936161586,5.932857147284916,861700000000.0,1.7497196513918294,75217000000.0,154824088227.27274,5888.34091549579,6.410655244924104,95.9821682441868,1967,USA
196560000.0,99437061.0,97122939.0,18.4,9.5,12.0,22.532857009342738,1.5507142799241203,0.8271428495645523,11.042142936161586,5.932857147284916,815000000000.0,1.7497196513918294,75217000000.0,154824088227.27274,5590.33374033374,6.410655244924104,95.9644902619563,1966,USA
194303000.0,98225088.0,96077912.0,19.4,9.4,12.0,22.532857009342738,1.5507142799241203,0.8271428495645523,11.042142936161586,5.932857147284916,743700000000.0,1.7497196513918294,75217000000.0,154824088227.27274,5234.68500229024,6.410655244924104,95.8601615794837,1965,USA
191889000.0,96951949.0,94937051.0,21.1,9.4,12.0,22.532857009342738,1.5507142799241203,0.8271428495645523,11.042142936161586,5.932857147284916,685800000000.0,1.7497196513918294,75217000000.0,154824088227.27274,4970.44645602406,6.410655244924104,95.8016211194505,1964,USA
189242000.0,95575715.0,93666285.0,21.7,9.6,12.0,22.532857009342738,1.5507142799241203,0.8271428495645523,11.042142936161586,5.932857147284916,638600000000.0,1.7497196513918294,75217000000.0,154824088227.27274,4690.48625569377,6.410655244924104,95.7693155916265,1963,USA
186538000.0,94180305.0,92357695.0,22.4,9.5,12.0,22.532857009342738,1.5507142799241203,0.8271428495645523,11.042142936161586,5.932857147284916,605100000000.0,1.7497196513918294,75217000000.0,154824088227.27274,4433.60602129325,6.410655244924104,95.6055139735254,1962,USA
183691000.0,92714569.0,90976431.0,23.3,9.3,12.0,22.532857009342738,1.5507142799241203,0.8271428495645523,11.042142936161586,5.932857147284916,563300000000.0,1.7497196513918294,75217000000.0,154824088227.27274,4182.17550124938,6.410655244924104,95.5667993020266,1961,USA
180671000.0,91157654.0,89513346.0,23.7,9.5,12.0,22.532857009342738,1.5507142799241203,0.8271428495645523,11.042142936161586,5.932857147284916,543300000000.0,1.7497196513918294,75217000000.0,154824088227.27274,4049.786628734,6.410655244924104,95.5256695527392,1960,USA
